,種類,地区名,最寄駅,最寄駅からの距離（分）,取引価格（総額）,面積（㎡）,建築年
347,中古マンション等,西池袋,要町,3,58000000,45,2013.0
348,中古マンション等,西池袋,椎名町,4,15000000,20,1998.0
349,中古マンション等,西池袋,椎名町,2,25000000,20,2012.0
350,中古マンション等,西池袋,椎名町,2,13000000,15,1988.0
351,宅地(土地と建物),西池袋,椎名町,9,59000000,50,1999.0
352,中古マンション等,西池袋,椎名町,2,32000000,30,2012.0
353,中古マンション等,西池袋,椎名町,2,25000000,20,2012.0
354,中古マンション等,西池袋,目白,9,49000000,50,1986.0
355,中古マンション等,西巣鴨,大塚(東京),11,39000000,55,1978.0
356,中古マンション等,西巣鴨,大塚(東京),12,17000000,20,2009.0
358,宅地(土地と建物),西巣鴨,大塚(東京),10,84000000,90,2021.0
